Client,Project,Status,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Other Attachments,Other Links,RFP Received Date,Tribe,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Lead Phase,Lead Date,% Collected,Amount Collected (PHP),PAR,Tags,Amount Invoiced (PHP)
Don Bosco,Mineski Outpost - Don Bosco Alumni 2001,Collected - For Closing,33482.14,$587.41,"Jan 19: Submission of Pitch and CE (5PM)
Jan 20-21: Pitch Presenation
Jan 24: Execution 
Feb 9: Invoice request submitted and waiting for Finance to acknowledge.",,,Christine Joyce Jimenez Cahigas,Alvaro Miguel Dela Vega Santos,Anteaus Villena,,2026TEG-P0017,PDEI x AMD x AsRock Sponsorship Agreement 21012026 signed.pdf,,12%,"37,500.00",0.1,"3,348.21",,,Don Bosco 2001 x Mineski Global.pdf,,2026/01/06,IP,2026,01-01,2026/01/24,2026/01/24,100%,Account Director,"₱33,482.14",$587.41,,,1,"37,500.00",,"Don Bosco,Outpost,Event",37500
Dragon AI Media,GG Truck KIS4 HoK,Collected - For Closing,62500,"$1,096.49","April 27: CE Signed by Jati. Pushing for collection this week. 
May 4: Mineski ID started processing. Timeline 1 week.",2026/02/03,,,Alvaro Miguel Dela Vega Santos,,,2026TEG-P0036,,,12%,"70,000.00",0.137,"8,562.50",,,,,2026/02/03,PDEI - Tencent,2026,02-01,2026/02/06,2026/02/08,100%,Account Director,"₱62,500.00","$1,096.49",,,1,"70,000.00",202602050062,"Dragon AI,GGTruck",62500
Land Registration Systems Inc ,AVP Production for Land Registration Systems Inc,Collected - For Closing,311062.5,"$5,457.24","Mar 3: Awarded. Awaiting signed CE
Mar 9: Expected DP
March 26: Collected DP
April 6: For Final Invoicing 
April 30: Target Final Payment
April 23: Carlos updated that the bottleneck is in their finance and he will now escalate this to their processor as this has been long overdue
May 8: Balance payment collected
May 11: For sending of hard copy of documents as requested.",2026/03/03,,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,Ronelle Kylene Chaneco Lim,,2026TEG-P0054,[LARES x Mineski] Final Conforme (2026.03.05) (1).pdf,https://docs.google.com/spreadsheets/d/1n6NYsWbb9XMpFRYoaBcRfQ2rJm1J2xW3mh0oLa-gX48/edit?gid=480848512#gid=480848512,12%,"348,390.00",0.4053,"126,073.63",,,,DECK - https://docs.google.com/presentation/d/1qU3b2amqZsnzU6ZzNQmrRyOeVTSvy3FRTRkJEko4sHM/edit?usp=sharing,2026/02/13,PDEI - Marketing,2026,03-01,2026/03/09,2026/03/20,100%,Account Associate,"₱311,062.50","$5,457.24",4 - ITQ/RFQ/RFP,2026/02/16,1,"348,390.00",202603040036,AVP,"243873,104517"
BingoPlus,Panalo Caravan Festival,Collected - For Closing,6.67964e+06,"$117,186.67",Awaiting reply,2025/09/16,Dar,Kewen Ysan Tolentino Sy,Erika Anne Rous Punzalan,,,2025TEG-P0216,,https://docs.google.com/spreadsheets/d/13ZKGXd73vAS5RnHnpUdfjKh2IJxk8pfdBx95yfXA51k/edit?usp=sharing,0%,"6,679,640.00",0.327,"2,184,242.28",,,,,,PDEI - Marketing,2025,,,,,,,,,,1,"6,679,640.00",,"BingoPlus,Caravan",
BingoPlus,Alan Walker - Talent Booking for Music Fest,Collected - For Closing,4.35e+07,"$763,157.89",,,Dar,Dar,Erika Anne Rous Punzalan,,,2025TEG-P0260,,https://docs.google.com/spreadsheets/d/177B70dgJNY-M_0e3rStG_QeopDKAfgjv/edit?usp=sharing&ouid=107127916459739838747&rtpof=true&sd=true,0%,"43,500,000.00",0,0.00,,,,,,PDEI - Marketing,2025,,,,,,,,,,1,"43,500,000.00",,"BingoPlus,Concert",
CCAP (Contact Center Assoc. of the Philippines),CXTreme MLBB Tournament,Collected - For Closing,1.55072175e+06,"$27,205.64","Aug 1: Awarded; Revising payment terms and dates.
Aug 6:  Awaiting feedback from client; PDEI to check if amenable with terms
Dec 2: Pre-prod meeting with CCAP team
Dec 6-7: Round 1 of CCAP done. 
Dec 8: For preparation for next run (jan 17-18)
Dec 16: Next Payment is on Feb 9",2025/08/02,Hax,Kirk Terrence Agcaoili,Shanna Mae Alindada Sacsi,,,2025TEG-P0121,CE_ 2025TEG-P0121 CCAP x Globe Business MLBB 2025 - FINAL QUOTATION PESO V3 HIGH.pdf,https://docs.google.com/spreadsheets/d/1g3U5mYIVReJxOEKRyOrsNs9gyLdKZGAIaKnoWDY5vAU/edit?usp=sharing,12%,"1,736,808.36",0.104,"161,275.06",,"20% - Aug 15 - 347,361.67
50% - Oct 13 - 868,404.18
30% - Feb 9 - 521,042.50",,,,PDEI - Esports,2025,,,,100%,Account Associate,"₱1,550,721.75","$27,205.64",,,1,"1,736,808.36",,"CCAP,Tournament",
"CIGNAL TV, INC.",UAAP ESports S87 Peripherals Addendum,Collected - For Closing,1.96428571428571e+06,"$34,461.15",Checking,2025/08/29,Mineski,Vince,Alvaro Miguel Dela Vega Santos,,,,,,12%,"2,200,000.00",,,,,,,,PDEI - Esports,2025,,,,100%,Account Director,"₱1,964,285.71","$34,461.15",,,1,"2,200,000.00",,"CIGNAL,UAAP,Addendum",
DIGITAL TRIGGER DIGITAL MEDIA INC,BuzzOne - C-Vitt Brand Activation,Collected - For Closing,2.38443897e+06,"$41,832.26","Dec 2: Invoice for balance payment sent
March 27: DP Collected",2025/05/08,Vince,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,,,2025TEG-P0135,[SIGNED] V2 - [Mineski x BuzzOne C-VITT] - QUOTATION [PHP].pdf,https://docs.google.com/spreadsheets/d/1XtIUqRwut5dChCuCcnphr1dwTcGozhoFsLsZhjA7u5w/edit?usp=sharing,12%,"2,670,571.65",0.167,"398,201.31",PDEI SI3 363_50% DP C-Vitt Brand Activation.pdf,"May 31, 2025
September 20, 2025",,,,PDEI - Marketing,2025,,,,100%,Account Associate,"₱2,384,438.97","$41,832.26",,,0,0.00,202505070018,Booth,1175436.98
Don Bosco,Mineski Outpost - Don Bosco Alumni AMD X-Deal,Collected - For Closing,33482.1428571429,$587.41,,,,Christine Joyce Jimenez Cahigas,Alvaro Miguel Dela Vega Santos,Anteaus Villena,,2026TEG-P0018,,,12%,"37,500.00",0,0.00,,,,,2026/01/06,PDEI - Marketing,2026,01-01,2026/01/24,2026/01/24,100%,Account Director,"₱33,482.14",$587.41,,,1,"37,500.00",,"Don Bosco,Outpost,Event,X-Deal",33482.14
Federal Land,MET Park Fitness Weekend Run,Collected - For Closing,268143.75,"$4,704.28",Sep 30: Client said Oct 9 payment,2025/07/16,,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,,,2025TEG-P0204,,https://docs.google.com/spreadsheets/d/1TB9bBeYy2doaWPL5-uR1tBei41UNKSxqVH6GhyZ9aKI/edit?usp=sharing,12%,"300,321.00",0.204,"54,701.32",,,,,,PDEI - Marketing,2025,,,,100%,Account Associate,"₱268,143.75","$4,704.28",,,1,"300,321.00",,"Federal Land,Event",
Federal Land,Met Park: Rainy Day Tails Pet Party,Collected - For Closing,308030.91,"$5,404.05",,2025/08/22,Erika,,Shanna Mae Alindada Sacsi,,,2025TEG-P0190,,https://docs.google.com/spreadsheets/d/1KWLKKRjimcfZ87tGPnngy8Dud8WfkDdM47dE432g_1g/edit?usp=sharing,12%,"344,994.62",0.139,"42,816.30",,,,,,PDEI - Marketing,2025,,,,100%,Account Associate,"₱308,030.91","$5,404.05",,,1,"344,994.62",,"Federal Land,Event",
Jobstreet,Jobstreet Umbrella Production,Collected - For Closing,51485.36,$903.25,"April 7: Umbrellas ETA April 10
Apr.14: Delivery to client by April 21 
April 21: Delivered to client, for invoicing",,,,"Carlos Roberto Francisco, David, IV Coscolluela",Clifford Markus Ortiz Martinez,,2026TEG-P0002,Signed JSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_Umbrella Production.pdf,https://docs.google.com/spreadsheets/d/1UT2pczppiap0tcVk3FnI_BbA1-I2whxPQfBVugeAaY0/edit?usp=sharing,12%,"57,663.60",0.0909,"4,680.02",,,,,2026/01/06,PDEI - Marketing,2026,01-01,2026/01/09,2026/03/06,100%,Account Associate,"₱51,485.36",$903.25,,,1,"57,663.60",202601090043,"Jobstreet,Merchandise",57663.61
Mineski ID,KIS4 Rebroadcast,Collected - For Closing,2.464e+06,"$43,228.07",COLLECTED,,Mineski ID,,Carla Andrea Calma Crespo,Frances Angelita Arreglado,,2026TEG-P0007,,,0%,"2,464,000.00",0.37,"911,680.00",,,,,2026/01/05,PDEI - Tencent,2026,01-01,2026/01/28,2026/02/08,100%,Account Associate,"₱2,464,000.00","$43,228.07",,,1,"2,464,000.00",202601190092,"Tencent,Broadcast",0
Mineski ID,KIS4 IT Services,Collected - For Closing,1.14e+06,"$20,000.00","COLLECTED
[May 8] Payment Received
[May 7] Paid accd. to Fahmi. Waiting to receive.
[May 5] Asked Cindy if this could be expedited; no response
[May 4] Confirmed with ID; payment is filed on their end (1 week before payment is received)
[Apr 28] Invoice sent to ID",,Mineski ID,,Carla Andrea Calma Crespo,Frances Angelita Arreglado,,2026TEG-P0008,QUOTATION SIGNED - KIS 4 IT Services.pdf,,0%,"1,140,000.00",0.5,"570,000.00",,,,,2026/01/05,PDEI - Tencent,2026,01-01,2026/01/28,2026/02/08,100%,Account Associate,"₱1,140,000.00","$20,000.00",,,0,0.00,202601060161,"Tencent,HOK - KIS4,IT",1262307.1800000002
Mineski PH,Beyblade IP Tournament,Collected - For Closing,39650,$695.61,,2026/02/23,,,aloboy,Maura Aurel Atilano Yap,Alessandra Mae Villanueva Boado,2026TEG-P0038,,,0%,"39,650.00",0.19778058,"7,842.00",,,,,2026/02/16,IP,2026,02-01,2026/02/10,2026/02/20,,,,,,,0.19778058,"7,842.00",202602160060,"IP,Tournament",
Moonton Philippines Technology Inc.,MPL PH S16 Addendum,Collected - For Closing,1.89929565178571e+06,"$33,320.98","This is a running CE, will finalize by end of regular season (oct 12)",2025/10/27,,,Marcus Joaquin Viray Gonzales,,,2025TEG-P0269,,,12%,"2,127,211.13",0.287,"545,097.85",,,,,2025/09/16,PDEI - Moonton,2025,,,,100%,Senior Account Manager,"₱1,899,295.65","$33,320.98",,,1,"2,127,211.13",,"Moonton,ML,MPL,Addendum,Tournament",
Pilipinas E-Sports Organization Inc.,PESO National Grassroots Program - Caloocan,Collected - For Closing,251237.51,"$4,407.68","Mar 3: For internal briefing
Apr 7: Won
Apr 27: Collected ",2026/04/07,Alo,,Shanna Mae Alindada Sacsi,,,2026TEG-P0089,Signed CE_2026TEG-P0089 PESO NGP 1 - Caloocan.pdf,https://docs.google.com/spreadsheets/d/1Wv4dAoTx6QAnsq7uVD2T3d9nIsM8S51bfT2-TRH0gNQ/edit?usp=sharing,12%,"281,386.01",0.217,"54,518.54",,,,,2026/02/23,PDEI - Esports,2026,04-01,2026/04/06,2026/04/30,100%,Account Associate,"₱251,237.51","$4,407.68",,,1,"281,386.01",202604160044,"PESO,Tournament","103458.98,103458.98"
Pilipinas E-Sports Organization Inc.,PESO MLBB Asian Games Broadcast,Collected - For Closing,103868,"$1,822.25",,2026/03/10,Alo,,aloboy,Maura Aurel Atilano Yap,Alessandra Mae Villanueva Boado,2026TEG-P0075,SIGNED  - - CE_2026TEG-P0075 PESO Asian Games Broadcast - QUOTATION PESO v2 (Aut.pdf,https://docs.google.com/spreadsheets/d/1XqYYDY5ciZRdDKn6O-enqu_4jOZ7iPRZICbcQaCFYrM/edit?usp=sharing,12%,"116,332.16",0.2123,"22,051.18",,,,,2026/03/09,PDEI - Esports,2026,03-01,2026/03/14,2026/03/15,,,,,,,1,"116,332.16",202603110079,"PESO,Broadcast","58166.08,58166.08"
RaizeSquadPH,RaizeSquad GG Truck Rental,Collected - For Closing,18303.5714285714,$321.12,,2026/04/15,,,Marcus Joaquin Viray Gonzales,JP dela Peña,,2026TEG-P0098,,,12%,"20,500.00",0.3,"5,491.07",,,,,2026/04/15,PDEI - Moonton,2026,04-01,2026/04/18,2026/04/18,100%,Senior Account Manager,"₱18,303.57",$321.12,,,1,"20,500.00",,GG Truck,18303.57
SM Prime Holdings Inc.,SM Cyberzone Tabletop Throwdown,Collected - For Closing,2.71648454e+06,"$47,657.62","Jan 27: Awarding sometime this week. Client to finalize.
Jan 30: Last day of Kiel. Project is handed over to Pao. 
Feb 2: As per Dana (their procurement), CE is still under review
Feb 9: Won
March 28-29: Execution Break Date 
April 13: Nudged the code for invoicing from client's system
April 21: Aligned with SM's accounting on the amount and coupa process
April 23: For filing in Coupa (awaiting invoice)
May 8: Collected",2026/02/06,,,Shanna Mae Alindada Sacsi,Alessandra Mae Villanueva Boado,,2025TEG-P0278,"CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series Addendum.pdf,[4.8] CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series.pdf",https://docs.google.com/spreadsheets/d/1JW69zDQ4bh1bZcU3xjEVIFAINSze7q6_Fd0yrfBgakA/edit?gid=253769181#gid=253769181,12%,"3,042,462.68",0.202,"548,729.88",,,,DECK - https://docs.google.com/presentation/d/1nwx76_MwHPbbYG857lseCIDDN1RlQuLAHo5zT4Gx4WE/edit?usp=sharing,2025/12/15,PDEI - Esports,2026,02-01,2026/03/07,2026/04/19,100%,Account Associate,"₱2,716,484.54","$47,657.62",,,,,202602090082,"SM,SM Cyberzone,Event,Tournament","2959126.87,1200000"
SM Prime Holdings Inc.,Addendum - SM Cyberzone Tabletop Throwdown,Collected - For Closing,14061.6,$246.69,"Feb 25: Approved in DONA 
April 21: Aligned with SM's accounting on the amount and coupa process
April 23: For filing in Coupa (awaiting invoice)
May 8: Collected",2026/02/20,,,Shanna Mae Alindada Sacsi,Alessandra Mae Villanueva Boado,,2026TEG-P0053,CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series.pdf,https://docs.google.com/spreadsheets/d/1JW69zDQ4bh1bZcU3xjEVIFAINSze7q6_Fd0yrfBgakA/edit?usp=sharing,12%,"15,748.99",0.282,"3,965.37",,,,,2026/01/01,PDEI - Esports,2026,02-01,2026/03/07,2026/03/29,100%,Account Associate,"₱14,061.60",$246.69,,,,,202602270013,"SM,SM Cyberzone,Event,Tournament,Addendum",15748.99
Tencent,HOK PKL,Collected - For Closing,2.129469868e+07,"$373,591.20",Sep 29: Get update from ID,2025/09/02,Nate,Vince,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,2025TEG-P0219,,,0%,"21,294,698.68",0.15,"3,194,204.80",,,,,,PDEI - Esports,2025,,,,100%,Account Director,"₱21,294,698.68","$373,591.20",,,1,"21,294,698.68",,"Tencent,HOK,PKL,Tournament",
Tencent,HOK KIC,Collected - For Closing,4.12629168e+07,"$723,910.82",Sep 29: Get update from ID,2025/09/29,Mineski,,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,2025TEG-P0286,,,0%,"41,262,916.80",0.15,"6,189,437.52",,,,,2025/08/18,PDEI - Tencent,2025,,,,100%,Account Director,"₱41,262,916.80","$723,910.82",,,0.5,"20,631,458.40",,"Tencent,HOK,KIC,Tournament",
Tencent,KIC 2025 - OOH,Collected - For Closing,747040,"$13,105.96","Oct 28: Awarded
Dec 4: Closing; for payment",2025/10/27,Jatti,Marinella M. Casabuena,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,,,,0%,"747,040.00",0.15,"112,056.00",,,,,2025/09/02,PDEI - Tencent,2025,,,,100%,Account Director,"₱747,040.00","$13,105.96",,,1,"747,040.00",,"Tencent,HOK,KIC,OOH",
Tencent,KIC 2025 - KOL,Collected - For Closing,2.01602e+06,"$35,368.77",Sep 29: Get update from ID,2025/09/29,Mineski,,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,2025TEG-P0318,,,0%,"2,016,020.00",0.15,"302,403.00",,,,,,PDEI - Tencent,2025,,2025/11/14,2025/11/30,100%,Account Director,"₱2,016,020.00","$35,368.77",,,1,"2,016,020.00",202511190052,"Tencent,HOK,KIC,KOL",
Tencent,KIC 2025 - Hotel Accommodation,Collected - For Closing,5.2e+06,"$91,228.07",,2025/10/27,,,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,2025TEG-P0294,,,0%,"5,200,000.00",0.15,"780,000.00",,,,,,PDEI - Tencent,2025,,,,100%,Account Director,"₱5,200,000.00","$91,228.07",,,1,"5,200,000.00",,"Tencent,HOK,KIC,Hotel",
Tencent,KIC 2025 - Venue,Collected - For Closing,5.33e+06,"$93,508.77",,2025/10/27,,,Alvaro Miguel Dela Vega Santos,Juvie Anne Asis Castres,,2025TEG-P0291,,,0%,"5,330,000.00",0.15,"799,500.00",,,,,,PDEI - Tencent,2025,,,,100%,Account Director,"₱5,330,000.00","$93,508.77",,,1,"5,330,000.00",,"Tencent,HOK,KIC,Venue",
Tencent,CFL Southeast Asia Public Test – Five-Country Celebrity Challenge,Collected - For Closing,3.48e+06,"$61,052.63",Collected,2025/12/02,Jatti,Kewen Ysan Tolentino Sy,Carla Andrea Calma Crespo,,,2025TEG-P0322,CE_2025TEG-P0322 - CFL Mobile PH Launch 2025 Quotation copy.pdf,https://docs.google.com/spreadsheets/d/1_y1InpJs7-sFrA4cnHWHl9X2U_yg_IyosaPYMvGCE9o/edit?usp=sharing,0%,"3,480,000.00",0.2547,"886,356.00",,,,,2025/11/21,PDEI - Marketing,2025,,2025/12/16,2025/12/16,100%,Account Associate,"₱3,480,000.00","$61,052.63",,,1,"3,480,000.00",202512090150,"Level Infinite,CFL",
Tencent,CFL Southeast Asia Games - Addendum,Collected - For Closing,296348.1,"$5,199.09",Collected,,,,Carla Andrea Calma Crespo,,,2025TEG-P0344,,,0%,"296,348.10",0.3,"88,904.43",,,,,2026/01/09,PDEI - Tencent,2025,,2025/12/14,2025/12/16,100%,Account Associate,"₱296,348.10","$5,199.09",,,1,"296,348.10",202512160101,"Level Infinite,CFL,Addendum",
Infinitech Digital Gaming Corporation,SportsPlus Roadtrip Watch Party,For Collection - Invoice Sent,2.573355e+06,"$45,146.58","Dec 2: To check with Jean
Jan 27: Kickoff meeting with Internal Team ;To submit proposal by Jan 30 (Fri).
Feb 2: Final DRT
Feb 2: Proposal Deck submitted to the client
Mar 3: For on-site meeting this week
April 27: SJDM Execution. 
Aligned with VP Sales Vince with possible upsell opportunities with SP+ Live in Bars and Local areas.  Also, opening the discussion for the Live stream on the next location of activation. 
April 30: upcoming Batangas Execution
May 2: Executed Filoil Arena 
May 4: Confirming next runs and schedule for the month of May. Addendum CE to be billed monthly. For filing",2026/03/24,,Vince,Alvaro Miguel Dela Vega Santos,Kervin,,2026TEG-P0028,EXT_SportsPlus_x_MPBL_Activation_and_Festival_2026_03_12_SIGNED.pdf,https://docs.google.com/spreadsheets/d/1g3jOxcQqC_t-qgNsOBSWKM2nk1bsQbFgTTamvuoI1v4/edit?usp=sharing,0%,"2,573,355.00",0.4624,"1,189,919.35",,,MPBL Notes-Short brief.pdf,DECK - https://docs.google.com/presentation/d/1Jq_Q6jalZ57SpMCjjMDyLHl9HrgFYVtL8zJcU8s6H8A/edit?usp=sharing,2025/11/14,PDEI - Marketing,2026,04-01,2026/03/25,2026/05/11,90%,Account Director,"₱2,316,019.50","$40,631.92",,,0.5,"1,286,677.50",202603240070,SportsPlus,"772006.5,1801348.5"
Jobstreet,Jobstreet LevelUp Tournament Addendum,For Collection - Invoice Sent,92000,"$1,614.04","April 7: Invoice Sent
April 27: Bumped for payment",2026/01/15,,,"Carlos Roberto Francisco, David, IV Coscolluela",,,2025TEG-P0341,SIGNED --- For Signature JSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_ .pdf,https://docs.google.com/spreadsheets/d/1itX5WTsUFhP-Z9i0duFDWI7yWhLEFizPNArNWUEbU9Y/edit?usp=sharing,12%,"103,040.00",0.3,"27,600.00",,,,,2026/01/28,PDEI - Esports,2026,01-01,2026/02/21,2026/02/22,90%,Account Associate,"₱82,800.00","$1,452.63",,,0.5,"51,520.00",202601300013,"Tournament, Addendum",103040
Alika Company Limited,The Ragnarok Phase 9,For Collection - Invoice Sent,96900,"$1,700.00",Awaiting signed CE and proof of payments from Jaseem,2025/09/15,Jaseem,Vince,Shanna Mae Alindada Sacsi,Anteaus Villena,,2025TEG-P0161,CE_ 2025TEG-P0161 Ragnarok Phase 9.pdf,https://docs.google.com/spreadsheets/d/10WQ5NY7DO4FZMxxOLb0unlR-58gifxaFBlgpwKnIthI/edit?usp=sharing,0%,"96,900.00",,,,,,,,PDEI - Marketing,2025,,,,90%,Account Associate,"₱87,210.00","$1,530.00",,,0,0.00,202506040161,"Ragnarok,KOL",96900
Alika Company Limited,The Ragnarok Phase 8,For Collection - Invoice Sent,125400,"$2,200.00",,,,,Shanna Mae Alindada Sacsi,Anteaus Villena,,2025TEG-P0136,CE_2025TEG-P0136 The Ragnarok Phase 8 (1).pdf,https://docs.google.com/spreadsheets/d/1AcqoXkyfwrOxribeUf28DM78gK7Op5SBPcAAFBOdnCQ/edit?usp=sharing,0%,"125,400.00",,,,,,,,PDEI - Marketing,2025,,,,90%,Account Associate,"₱112,860.00","$1,980.00",,,0,0.00,202505090030,"Ragnarok,KOL",125400
Alika Company Limited,Ragnarok V Phase 2,For Collection - Invoice Sent,28500,$500.00,,,,,Shanna Mae Alindada Sacsi,Anteaus Villena,,2025TEG-P0134,CE_2025TEG-P0134 Ragnarok V_ Returns (PHASE 2) (1).pdf,https://docs.google.com/spreadsheets/d/1MH2_lfmDLND4jYgGup1reJtg5cY9rY8LbylIbzHLPiI/edit?usp=sharing,0%,"28,500.00",,,,,,,,PDEI - Marketing,2025,,,,90%,Account Associate,"₱25,650.00",$450.00,,,0,0.00,202505090028,"Ragnarok,KOL",28500
Gamemaster Integrated,GTCC KOL Campaign,For Collection - Invoice Sent,,,,,Mineski,,Alvaro Miguel Dela Vega Santos,,,2025TEG-P0110,,,0%,0.00,,,,,,,,PDEI - Marketing,2025,,,,90%,Account Director,₱0.00,$0.00,,,0,0.00,,"GTCC,KOL",
Infinitech Digital Gaming Corporation,SportsPlus MPBL Fan Zone Opening Day,For Collection - Invoice Sent,1.264333e+06,"$22,181.28","Apr 1: Client sent signed CE through email
April 10: Execution Break Date
April 13: Collecting Post Event Report
April 27: DP Collected",2026/04/06,,Vince,Alvaro Miguel Dela Vega Santos,Kervin,,2026TEG-P0088,,https://docs.google.com/spreadsheets/d/1vavdTr5-gNgIYTqNHS3W4NLEYlyYO54T77BEJRK-tU0/edit?usp=sharing,0%,"1,264,333.00",0.278,"351,484.57",,,,,2026/04/03,PDEI - Marketing,2026,04-01,2026/04/11,2026/04/12,90%,Account Director,"₱1,137,899.70","$19,963.15",,,,,202604060049,SportsPlus,
Jobstreet,Jobstreet LevelUp Tournament Season 2,For Collection - Invoice Sent,678506.9,"$11,903.63","April 7: To send full invoice
April 14: Network test w/ client on April 21
April 22: Scheduling second test next week",,Mineski,Kewen Ysan Tolentino Sy,"Carlos Roberto Francisco, David, IV Coscolluela",Maura Aurel Atilano Yap,,2025TEG-P0211,SIGNED --- For SignatureJSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_Q3.pdf,https://docs.google.com/spreadsheets/d/1itX5WTsUFhP-Z9i0duFDWI7yWhLEFizPNArNWUEbU9Y/edit?usp=sharing,12%,"759,927.73",0.136,"92,276.94",,,,,2025/07/01,PDEI - Esports,2026,01-01,2026/02/21,2026/05/30,90%,Account Associate,"₱610,656.21","$10,713.27",,,,,202511040070,"Jobstreet,Tournament",303971.09
Mineski TH,MCGG Rising Stars Season 4 x Elgin,For Collection - Invoice Sent,76635,"$1,344.47","Dec 2: RFQ Received
April 7: Bumped for collection
April 22: Bumped for collection
April 27: Briefing for S5 on April 28",2026/01/30,Farand,Jorge Luis Tesoro,"Carlos Roberto Francisco, David, IV Coscolluela",Clifford Markus Ortiz Martinez,,2025TEG-P0350,2025TEG_P350_CE_MCGG_Rising_Stars_Season_4_x_Elgin_Quotation_6.pdf,https://docs.google.com/spreadsheets/d/1xyfsSvrsXkGVsvXPNZKjkPKoypU5qlzvC5RP0seZr9I/edit?usp=sharing,0%,"76,635.00",0.316,"24,216.66",,,,,2025/12/02,PDEI - Marketing,2026,01-01,2026/01/03,2026/01/10,90%,Account Associate,"₱68,971.50","$1,210.03",,,,,202601050029,"MCGG,KOL",75836.79000000001
Minotaur Advertising Inc,Minotaur x Jollibee GameJoy Launch,For Collection - Invoice Sent,5.43990948e+06,"$95,437.01",,,,Vince,Shanna Mae Alindada Sacsi,Duane Aaron Baret Cadangan,,2025TEG-P0091,CE_2025TEG-P0091_Jollibee GameJoy Launch_SIGNED.pdf,https://docs.google.com/spreadsheets/d/1Jf_HS5mI9_KQ2TLZgYeXGQJWuC3Tw1NnrO1-6my7dsg/edit?usp=sharing,12%,"6,092,698.62",0.146,"794,226.78",,,,,,PDEI - Marketing,2025,,,,90%,Account Associate,"₱4,895,918.53","$85,893.31",,,0.7,"4,264,889.03",202504080039,"Minotaur,Event",2145598.97
Moonton Philippines Technology Inc.,MPL PH S17,For Collection - Invoice Sent,2.888379661e+07,"$506,733.27","April 13: 70% DP Collected 
May 8: 30% FP July 1 expected",2026/02/03,,,Marcus Joaquin Viray Gonzales,Katherine Denise Lee Sy,,2026TEG-P0009,[REVISED] CE-2026TEG-P0009-MPL PH S17.pdf,https://docs.google.com/spreadsheets/d/1TO1l4QgZu9SyxbryM68AwIFA3bOs1KqhbjbsOmyBXPc/edit?usp=sharing,12%,"32,349,852.20",0.2099,"6,062,708.91",,,,,2026/01/05,PDEI - Moonton,2026,02-01,2026/03/15,2026/06/01,90%,Senior Account Manager,"₱25,995,416.95","$456,059.95",,,0.7,"22,644,896.54",202602190021,"Moonton,ML,MPL PH,Tournament","22644896.55,9704955.66"
Moonton Philippines Technology Inc.,MPL PH S17 Addendum (Genset Diesel),For Collection - Invoice Sent,580160,"$10,178.25","Apr 6: Sent invoice for 50% DP to client 
Apr 30: Target collection for 50% DP
May 8: 50% DP, FP on July 1",2026/03/30,,,Marcus Joaquin Viray Gonzales,Katherine Denise Lee Sy,,2026TEG-P0085,CE-2026TEG-P0085-MPL PH S17 Addendum.pdf,https://docs.google.com/spreadsheets/d/1wPgnLLpi1hbpY9t9l9EJr3FNYeQ4WrECK7BTcEaM7Xw/edit?usp=sharing,12%,"649,779.20",0,0.00,,,,,2026/03/02,PDEI - Moonton,2026,04-01,2026/04/02,2026/07/01,90%,Senior Account Manager,"₱522,144.00","$9,160.42",,,0.5,"324,889.60",202603300095,"Moonton,ML,MPL PH,Tournament,Addendum","324889.6,324889.6"
SM Development Corporation,SMDC Heroes Clash Community Arena,For Collection - Invoice Sent,546189.71,"$9,582.28",August 26: Proposal Submitted,2025/09/24,,,"Carlos Roberto Francisco, David, IV Coscolluela",Clifford Markus Ortiz Martinez,,2025TEG-P0247,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,12%,"611,732.48",0.265,"144,740.27",,,,,,PDEI - Moonton,2025,,,,90%,Account Associate,"₱491,570.74","$8,624.05",,,0,0.00,202509190067,"SM,SMDC,ML,Tournament","20547.3,8624,196000,197000,197000"
